ID,SMILES,Standard Relation,IC50,pIC50,bioactivity
CHEMBL1425421,Cc1cc(OCc2cc(C(=O)O)oc2C)c2c3c(c(=O)oc2c1)CCCC3,'=',582,6.24,active
CHEMBL1427185,O=C1C=CC(=O)N1CCNc1ncc(C(F)(F)F)cc1Cl,'=',7938,5.1,active
CHEMBL1428095,CC(=O)Nc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,'=',7611,5.12,active
CHEMBL1428415,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,'=',7959,5.1,active
CHEMBL1428935,N#CC(C#N)=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccc(Cl)cc1,,45884,,inactive
CHEMBL1429929,CCOC(=O)CCS(=O)(=O)c1nc(-c2ccccc2)cc(C(F)(F)F)n1,'=',28223,4.55,inactive
CHEMBL1430184,CCCN1C(=O)c2cccc3c(N4CCCCC4)ccc(c23)C1=O,'>',59640,,inactive
CHEMBL1430995,Cc1ccc(N2C(=O)Cc3ccccc3C2=O)cc1,'=',4592,5.34,active
CHEMBL1431288,Cc1cccc(C2c3[nH]c4ccccc4c3CCN2C(=O)c2cc(CC(C)C)nc(O)n2)n1,'=',2742,5.56,active
CHEMBL1431535,O=C1Nc2cc(C(=O)NCCCN3CCOCC3)ccc2S/C1=C/c1ccccc1F,'=',17583,4.75,inactive
CHEMBL1431608,Cc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cn2)cc1,,49806,,inactive
CHEMBL1431610,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,'=',22065,4.66,inactive
CHEMBL1432003,CCCCC(Sc1nc(N)c(NC(=O)c2ccco2)c(O)n1)C(=O)O,'>',59640,,inactive
CHEMBL1432251,COc1ccc(CS(=O)(=O)/C(Cl)=C(/Cl)C(=O)Nc2ccc(OC)nc2)cc1,'>',49739,,inactive
